"ID_REF"	"GSM3175736"	"GSM3175737"	"GSM3175738"	"GSM3175739"	"GSM3175740"	"GSM3175741"
"ERCCmix2step11"	4.602692	4.7918463	4.5307527	4.926548	4.7121716	4.731119
"ERCCmix2step12"	3.8261507	3.7733107	4.057505	3.6171944	3.732804	3.8861454
"ERCCmix2step13"	2.7707288	3.0005746	2.7920806	2.89623	2.7879016	2.8439121
"ERCCmix2step14"	3.7791271	3.689461	3.5296044	3.811201	3.712614	3.7356472
"ERCCmix2step15"	4.7149854	4.8286643	4.8723683	4.578162	4.77532	4.642892
"ERCCmix2step16"	5.0325985	5.0663223	4.956619	4.5003967	4.7805963	4.9879208
"ERCCmix2step17"	5.054819	5.2150407	5.194513	5.2078686	5.1775575	5.2755775
"ERCCmix2step18"	5.505279	5.5083766	5.5338135	5.66481	5.2451158	5.6061506
"ERCCmix2step19"	4.628038	4.506975	4.6242657	4.6415176	4.491202	4.607381
"ERCCmix2step2"	5.4368443	5.3794975	5.563881	5.6454606	5.4021845	5.5239687
"ERCCmix2step20"	5.172353	5.147521	5.0943503	5.182853	5.0053635	5.1265593
"ERCCmix2step21"	3.6921153	3.6652687	3.7212925	3.6956778	3.5448625	3.5466154
"ERCCmix2step22"	3.5231047	3.3922575	3.522446	3.2858438	3.3591743	3.5733736
"ERCCmix2step23"	5.534052	5.3632793	5.4027014	5.818409	5.625516	5.704731
"ERCCmix2step24"	3.3986056	3.4348757	3.6065676	3.4807656	3.2862725	3.5473382
"ERCCmix2step25"	3.9847703	4.0291157	3.9829383	3.821312	3.8391938	3.9866853
"ERCCmix2step26"	4.664203	4.9839787	4.57928	4.720887	4.851536	4.6794014
"ERCCmix2step27"	3.313642	3.2948263	3.428376	3.3128457	3.4881318	3.4571557
"ERCCmix2step28"	4.6885285	4.7636685	4.3262863	4.334814	4.5997653	4.604625
"ERCCmix2step29"	4.1580048	4.1750803	4.0751896	4.058833	4.2035284	4.131964
"ERCCmix2step3"	5.305293	5.4548883	5.606186	5.3750873	5.1606374	5.3257694
"ERCCmix2step30"	2.8643053	2.918008	3.369395	3.0686	2.9699078	3.3385773
"ERCCmix2step31"	5.099198	5.0795603	5.0919433	5.2761455	4.956933	5.135205
"ERCCmix2step32"	3.2831395	2.978199	2.8878207	3.0629704	3.1916468	3.0246084
"ERCCmix2step33"	3.2018094	2.9508228	3.3571422	3.1405244	3.10548	3.3899846
"ERCCmix2step34"	3.0781095	3.0778418	3.182305	3.2405183	3.278182	3.2034652
"ERCCmix2step35"	6.1341166	5.917449	6.00796	6.061619	6.111653	6.371786
"ERCCmix2step36"	4.193579	3.8777976	3.888586	3.7437649	3.7757428	3.826346
"ERCCmix2step38"	4.7428064	5.2212996	5.278184	5.0457044	4.6901445	5.2105784
"ERCCmix2step39"	6.5605755	6.5955563	6.49765	6.471884	6.53507	6.4592524
"ERCCmix2step4"	5.2908463	5.299519	5.2921114	5.388982	5.2987423	5.2293453
"ERCCmix2step40"	6.4555	6.632778	6.54635	6.254176	6.466854	6.472859
"ERCCmix2step42"	4.590763	4.888941	4.398735	4.4554443	4.560305	4.4222636
"ERCCmix2step43"	3.542188	3.5192273	3.5560987	3.544066	3.3203988	3.3651054
"ERCCmix2step44"	6.4252295	6.486892	6.425905	6.451269	6.294226	6.461111
"ERCCmix2step6"	4.278005	4.0610766	4.204101	4.2354984	4.3325853	3.8913581
"ERCCmix2step7"	5.0413375	4.7711554	4.5915217	4.9116893	4.841725	4.741838
"ERCCmix2step8"	4.356352	4.4115105	4.325523	4.3053675	4.1972623	4.2593155
"ERCCmix2step9"	4.8944507	4.9351773	4.7582784	4.962594	4.7640305	4.792709
"HTA2-neg-47419064_st"	4.0070286	4.6620784	4.5421643	4.5196924	3.5910704	3.4220307
"HTA2-neg-47419066_st"	2.5055218	2.4504962	2.6960025	3.0947766	2.4965	2.6748407
"HTA2-neg-47419077_st"	2.9650521	3.089745	2.3391068	2.5321596	2.6488445	2.7426393
"HTA2-neg-47419080_st"	2.2776427	2.816177	3.0481575	2.6691017	2.3311172	2.3311172
"HTA2-neg-47419083_st"	2.8639188	2.4317777	2.978145	2.9110494	2.4071162	2.4742625
"HTA2-neg-47419101_st"	2.580908	2.1440225	2.680515	2.816177	2.4447038	2.165533
"HTA2-neg-47419113_st"	2.6234224	3.0269628	2.9479249	2.7938514	3.5406363	2.5182583
"HTA2-neg-47419116_st"	3.3824284	4.9414854	3.1007445	3.7127209	3.3282573	3.8996136
"HTA2-neg-47419185_st"	3.0466769	3.0107942	2.726469	2.501723	2.5487313	2.6024752
"HTA2-neg-47419191_st"	2.924597	3.3766525	3.1741352	3.3330677	3.3760679	2.9801009
"HTA2-neg-47419192_st"	3.4451754	3.1188014	3.2513041	3.6299038	3.465528	2.8438585
"HTA2-neg-47419193_st"	2.7615654	3.059962	2.6485	2.4352224	3.1223695	2.7954128
"HTA2-neg-47419195_st"	2.165533	2.2343774	2.404667	2.2776427	2.3514276	2.3311172
"HTA2-neg-47419203_st"	2.5393276	2.4152117	2.2165792	4.0054274	4.0136886	2.957082
"HTA2-neg-47419205_st"	2.3485298	2.4278862	2.1865761	2.5055737	2.617352	3.063745
"HTA2-neg-47419210_st"	4.1173606	2.6284935	2.7531922	4.3233027	4.7224946	4.1274595
"HTA2-neg-47419220_st"	2.490855	2.2189882	2.217108	2.1922512	2.2032328	1.9416157
"HTA2-neg-47419221_st"	3.0753624	2.2167702	2.6253366	2.9177232	2.5207603	3.5949712
"HTA2-neg-47419231_st"	4.0974307	2.9609113	3.5074008	3.9879694	3.6388001	3.5485609
"HTA2-neg-47419258_st"	2.7422597	4.5218086	2.680515	3.0481575	2.4815118	3.0481575
"HTA2-neg-47419265_st"	2.2187836	2.530787	3.0229757	2.0558825	2.6516135	2.075357
"HTA2-neg-47419266_st"	4.1984134	4.2698507	3.660512	4.6681046	4.28383	4.224134
"HTA2-neg-47419272_st"	3.3399928	3.901015	4.4716105	4.18794	3.6235185	3.3645856
"HTA2-neg-47419277_st"	2.679554	2.4808934	3.0075064	3.5346377	2.6160555	3.5798695
"HTA2-neg-47419281_st"	2.3230937	2.6965551	3.0265863	2.6948752	2.603894	2.5405066
"HTA2-neg-47419282_st"	2.7110283	2.4476979	2.643897	2.542374	2.3105257	3.788242
"HTA2-neg-47419283_st"	3.4187896	3.0847213	3.333372	3.5290475	3.2700262	3.6517422
"HTA2-neg-47419358_st"	4.595321	3.9558425	3.375877	4.3060207	2.980603	3.6112013
"HTA2-neg-47419392_st"	3.660616	3.5630429	3.4154065	3.9200432	3.7835338	3.4681296
"HTA2-neg-47419398_st"	2.2776427	2.680515	2.5221415	2.6687086	2.140101	2.3952172
"HTA2-neg-47419399_st"	3.441395	3.4026518	2.7011826	3.820402	3.3860736	2.5789688
"HTA2-neg-47419400_st"	2.8952076	2.3783832	3.2187014	3.369562	2.7325354	2.3183808
"HTA2-neg-47419401_st"	2.5393276	2.761886	2.385785	3.5691714	2.1829488	2.816177
"HTA2-neg-47419404_st"	2.780463	2.6172853	2.447558	2.3968222	2.2454548	2.4669983
"HTA2-neg-47419405_st"	3.1790383	2.8932433	3.0923018	2.8232741	2.6757777	3.1790571
"HTA2-neg-47419406_st"	2.9754956	2.4796126	2.301947	2.5405521	2.362768	2.420234
"HTA2-neg-47419407_st"	5.069329	4.957139	5.7158217	5.2976294	5.495969	5.2715106
"HTA2-neg-47419408_st"	2.789491	2.9191542	3.0590942	4.009338	3.07406	3.0884767
"HTA2-neg-47419411_st"	2.6440039	2.7212005	2.6880827	2.6700587	2.571229	2.827085
"HTA2-neg-47419412_st"	3.9194195	3.2800114	3.0570266	4.701907	3.856555	4.8024917
"HTA2-neg-47419414_st"	3.2507396	2.7368958	2.8554492	4.1639776	3.0404885	2.7170591
"HTA2-neg-47419415_st"	3.5855918	4.926305	3.6951013	3.901015	4.887594	4.4514956
"HTA2-neg-47419418_st"	3.5020792	2.8893461	3.434345	2.3526113	3.107165	2.868327
"HTA2-neg-47419419_st"	2.8346672	2.4980376	3.1412766	2.3757973	2.767857	3.150066
"HTA2-neg-47419421_st"	2.904064	2.6119244	3.012971	3.0542495	2.7390018	2.9217384
"HTA2-neg-47419422_st"	3.209765	2.680515	2.5264316	2.9190166	2.6078098	2.950627
"HTA2-neg-47419483_st"	3.014162	2.3555484	3.0475166	4.3275356	2.8583713	2.7864041
"HTA2-neg-47419517_st"	4.8668814	4.243949	4.233983	3.7371178	3.0379748	4.1609097
"HTA2-neg-47419523_st"	3.1922512	2.5739095	3.6033623	2.631852	3.1572177	2.5671706
"HTA2-neg-47419539_st"	2.6057494	2.967013	2.6168528	2.8238723	3.0904534	3.012971
"HTA2-neg-47419557_st"	2.8125393	2.5700634	2.4751098	2.2345443	2.7119515	2.2198238
"HTA2-neg-47419564_st"	2.816177	2.4991856	2.4815118	2.471716	2.598363	2.730635
"HTA2-neg-47419566_st"	3.690969	2.907662	2.967426	2.8543203	3.0531034	2.8342986
"HTA2-neg-47419567_st"	2.8321133	2.732174	3.3822517	2.6219583	3.3058262	2.88639
"HTA2-neg-47419569_st"	5.6031556	5.0539236	5.3201885	5.162597	5.6139627	4.4312544
"HTA2-neg-47419576_st"	3.2810264	3.8086045	2.619263	2.532968	3.0507994	3.499037
"HTA2-neg-47419586_st"	2.3425884	2.25601	2.4088306	2.8177135	2.5154176	2.390536
"HTA2-neg-47419587_st"	2.2513936	2.156573	2.619963	2.3811677	2.2479875	2.2903824
"HTA2-neg-47419588_st"	2.8293202	2.6704838	3.7513802	3.014333	2.9874592	3.0278265
"HTA2-neg-47419597_st"	2.7339392	3.8717494	2.7926903	3.6523855	3.2947273	2.5798576
"HTA2-neg-47419607_st"	2.8819363	3.4465835	3.3690748	3.042993	3.6292682	3.7727835
"HTA2-neg-47419608_st"	3.8054879	2.8018136	2.816177	2.5452602	3.5838912	3.7560878
"HTA2-neg-47419614_st"	2.7337692	3.477462	2.5710402	2.9474392	2.479826	2.3397784
"HTA2-neg-47419615_st"	2.8945608	2.575287	2.6245477	2.348218	2.8819346	3.6303358
"HTA2-neg-47419616_st"	2.4395611	2.4571986	2.4848857	2.7802312	2.7730663	2.8908837
"HTA2-neg-47419618_st"	2.6252174	2.3482177	2.445867	2.558051	3.0519702	2.3646705
"HTA2-neg-47419619_st"	2.3681061	2.3919432	2.1772263	2.456214	2.3775415	2.5508597
"HTA2-neg-47419620_st"	3.2515712	2.839515	3.598672	3.4875762	3.1323376	3.3479402
"HTA2-neg-47419636_st"	2.4662395	2.8646083	3.4714358	2.4352224	2.6263826	2.7769876
"HTA2-neg-47419637_st"	2.393687	2.5443425	2.777725	2.305956	2.6201925	2.8386726
"HTA2-neg-47419640_st"	2.3656867	3.107659	2.9192896	2.6984735	3.4331055	3.0524757
"HTA2-neg-47419651_st"	3.4502378	3.4013872	3.3507483	3.6037858	3.6526363	4.2463536
"HTA2-neg-47419652_st"	2.623684	2.4046097	2.657257	2.2809067	2.8966715	2.4995084
"HTA2-neg-47419654_st"	3.4893653	3.2857301	3.5708358	2.7515056	3.3792553	3.4148722
"HTA2-neg-47419657_st"	2.467343	2.3884141	3.1074097	2.3598347	2.4151256	2.5603728
"HTA2-neg-47419658_st"	2.5094724	2.459948	2.751769	2.6439464	2.8205562	2.50366
"HTA2-neg-47419661_st"	2.6853724	2.5125782	2.954342	2.812426	3.0172737	3.1509583
"HTA2-neg-47419663_st"	2.9079077	2.4065456	2.6644313	2.3585339	2.8549793	2.6644313
"HTA2-neg-47419664_st"	3.4402409	2.9228551	3.3152492	3.4089248	2.868957	3.517222
"HTA2-neg-47419666_st"	3.1447024	3.0570266	2.7179072	2.8080516	2.7605028	2.6156902
"HTA2-neg-47419667_st"	3.4583886	3.403707	3.6371844	3.4013872	3.4298878	3.4298878
"HTA2-neg-47419672_st"	2.647008	3.0153446	3.1635067	2.3726635	2.7273204	2.5249286
"HTA2-neg-47419686_st"	2.3524303	2.3688555	2.375873	2.5961254	2.8310401	2.3795288
"HTA2-neg-47419687_st"	3.5051212	3.3461924	4.0164614	3.7170713	2.816177	3.3108325
"HTA2-neg-47419688_st"	3.6049943	3.2898514	3.1359105	3.6726062	3.780875	3.868538
"HTA2-neg-47419691_st"	3.4820395	2.8922343	2.7471817	3.0481575	2.598363	2.8993387
"HTA2-neg-47419692_st"	2.876437	2.9065678	2.3849335	2.471716	2.419424	2.6091912
"HTA2-neg-47419693_st"	2.7450936	2.7241035	2.388268	2.564816	2.6612601	2.6367505
"HTA2-neg-47419697_st"	2.4762497	2.1483958	2.4227753	2.598363	2.01072	2.2607532
"HTA2-neg-47419698_st"	3.5133288	2.3676765	3.277843	2.6809385	3.06887	2.5766747
"HTA2-neg-47419699_st"	2.3860674	2.336839	2.273848	2.585108	2.4907765	2.2401369
"HTA2-neg-47419701_st"	2.5595217	2.6284935	2.4326403	2.165533	2.5393276	2.4124465
"HTA2-neg-47419703_st"	3.96789	2.9191735	3.1055167	3.8072474	3.060929	2.7216873
"HTA2-neg-47419705_st"	2.7646449	2.5713902	2.801282	2.770441	2.7843757	2.4233851
"HTA2-neg-47419706_st"	2.2776427	2.3311172	2.7531922	3.0481575	2.385785	2.2253437
"HTA2-neg-47419712_st"	3.1179063	2.6050117	2.319106	3.5691714	2.7008898	3.1179063
"HTA2-neg-47419713_st"	3.7226596	2.8211725	2.9438052	3.1088755	3.0531528	2.749805
"HTA2-neg-47419717_st"	2.860482	2.4162934	2.4417224	2.358077	2.5245535	2.6712651
"HTA2-neg-47419719_st"	2.6716254	2.323785	2.6099215	2.8431504	2.4846601	2.579419
"HTA2-neg-47419721_st"	3.0139089	2.7209077	2.8530328	3.76182	2.720272	3.2698786
"HTA2-neg-47419722_st"	4.964836	3.555092	3.209765	5.4243917	4.061686	2.598363
"HTA2-neg-47419725_st"	3.0481575	3.268389	2.9909487	3.2514386	3.3507483	3.4623444
"HTA2-neg-47419729_st"	2.165533	2.3326933	2.385785	2.816177	2.5158443	2.5393276
"HTA2-neg-47419731_st"	2.2824483	2.4384296	3.1052618	2.471716	2.449122	3.1052618
"HTA2-neg-47419732_st"	2.8918242	2.0348303	2.0026321	2.9697251	3.518107	2.471716
"HTA2-neg-47419734_st"	2.2288003	2.7223353	2.607274	2.271362	2.562527	2.4909642
"HTA2-neg-47419738_st"	2.8613522	2.5819833	2.8041842	2.7128174	2.5829515	2.5263588
"HTA2-neg-47419739_st"	2.628166	3.0570266	2.469346	3.194918	2.8549373	3.3750112
"HTA2-neg-47419745_st"	2.2988946	2.219558	2.1314855	2.207889	2.3410892	2.5404098
"HTA2-neg-47419749_st"	2.422862	2.060169	2.385747	2.1679466	2.5907323	2.2907922
"HTA2-neg-47419750_st"	2.6866024	3.102456	2.8402896	2.9650998	2.7193887	2.4824963
"HTA2-neg-47419754_st"	2.2506385	2.3438969	2.409874	2.2701626	2.3339756	2.312109
"HTA2-neg-47419757_st"	2.7595606	3.1218567	3.5166442	2.8586295	3.1966085	3.5359526
"HTA2-neg-47419758_st"	3.3363276	2.7019238	3.0112975	3.5762694	3.0559776	3.1079955
"HTA2-neg-47419760_st"	3.2140567	2.6545424	3.5488834	3.2506993	3.3138022	3.011824
"HTA2-neg-47419763_st"	2.311754	2.0629942	2.593892	2.5055218	2.20889	2.5102654
"HTA2-neg-47419770_st"	3.1658351	2.6747782	3.0761828	2.842099	3.2857811	2.5321596
"HTA2-neg-47419772_st"	3.1445258	2.156573	2.114333	2.816177	2.5393276	2.6980565
"HTA2-neg-47419773_st"	2.5893831	2.5403514	3.8263783	3.4085855	2.7209322	2.5909467
"HTA2-neg-47419781_st"	2.405095	2.5876706	2.4326403	2.0582507	2.0992687	1.9411068
"HTA2-neg-47419787_st"	2.6879425	3.700787	3.799303	3.9996877	3.1290848	3.321402
"HTA2-neg-47419790_st"	5.6419864	5.302235	5.5847187	5.5338764	5.246593	6.164194
"HTA2-neg-47419793_st"	3.092667	3.2525623	2.7699184	2.2463923	2.8844564	2.8802948
"HTA2-neg-47419795_st"	2.8918242	2.9042883	2.619963	2.3311172	2.598363	2.598363
"HTA2-neg-47419797_st"	2.4538965	2.2090857	2.2165792	2.5321596	2.4364703	2.773406
"HTA2-neg-47419801_st"	3.4648423	3.2458627	2.6590269	3.6066325	2.881584	2.639532
"HTA2-neg-47419807_st"	2.4454744	3.994754	4.3424044	4.072061	4.061686	4.434825
"HTA2-neg-47419808_st"	3.5978885	2.8274493	3.385741	3.1997283	3.3382103	3.7831447
"HTA2-neg-47419811_st"	3.1538126	2.9107385	3.527124	3.0481575	2.797338	3.209765
"HTA2-neg-47419815_st"	2.3980544	2.8699	2.4391594	2.3586864	2.4258363	2.5673828
"HTA2-neg-47419816_st"	2.4118533	2.2785347	2.457076	2.1972663	2.4824848	2.8120885
"HTA2-neg-47419818_st"	2.3485298	2.3030226	2.707975	2.8618977	3.014801	2.8907201
"HTA2-neg-47419819_st"	2.8909452	2.6388695	3.1055167	3.0600123	2.683159	2.838893
"HTA2-neg-47419820_st"	3.0434644	2.9049273	2.9907277	2.7599366	2.3752372	3.0359755
"HTA2-neg-47419821_st"	3.0515385	2.9672217	2.6505213	2.977968	2.897088	3.155471
"HTA2-neg-47419822_st"	2.5928316	3.066218	2.6929002	2.682471	2.3988438	2.3358707
"HTA2-neg-47419825_st"	3.5965114	3.8685553	3.5870476	3.4137127	3.0627096	3.458693
"HTA2-neg-47419826_st"	2.1524038	2.2167702	2.409662	2.5383484	2.6190488	2.531268
"HTA2-neg-47419827_st"	3.1674917	2.9883451	3.5910704	2.9447691	2.9130483	3.5673013
"HTA2-neg-47419829_st"	2.4206133	2.4751866	3.436698	2.6337323	2.3451853	2.5567734
"HTA2-neg-47419832_st"	2.9672256	3.2108195	2.8715556	3.0947766	3.2005317	3.0851989
"HTA2-neg-47419834_st"	2.4599764	2.623264	3.0129054	2.7248979	3.0328393	2.3566895
"HTA2-neg-47419835_st"	3.1936882	3.3525558	2.8727856	3.511779	3.6151707	3.152274
"HTA2-neg-47419841_st"	2.8264759	2.699599	2.5507374	2.7199478	2.7175384	3.1114278
"HTA2-neg-47419842_st"	2.994141	2.6421053	3.7846074	2.3311172	2.4380028	2.7524245
"HTA2-neg-47419844_st"	2.5329812	2.5240211	2.8000283	2.471716	2.6985652	2.6450908
"HTA2-neg-47419845_st"	3.4365525	2.5810537	3.242548	2.5792856	2.6083179	2.4965255
"HTA2-neg-47419846_st"	2.4876454	2.355839	2.3882003	2.4730394	2.7901237	2.615908
"HTA2-neg-47419848_st"	3.3942266	3.2892323	3.9634087	3.2918477	3.3407054	3.743708
"HTA2-neg-47419854_st"	4.2888293	2.4737957	3.1649814	3.2260306	2.7991734	3.177759
"HTA2-neg-47419858_st"	4.3424044	3.7226596	4.8797235	6.2529845	3.958745	3.888102
"HTA2-neg-47419859_st"	2.7615917	2.8081262	2.8788955	2.6218762	2.8459082	3.0481575
"HTA2-neg-47419860_st"	3.423363	2.6211112	2.8706973	2.5934913	3.523759	2.6950448
"HTA2-neg-47419862_st"	2.8967326	2.247738	2.7407007	3.4230306	2.4969945	2.862831
"HTA2-neg-47419866_st"	3.5337374	2.761886	2.9170103	2.7491639	2.385785	2.8484995
"HTA2-neg-47419868_st"	3.223458	2.7361996	2.8660417	2.6367505	2.633591	2.980368
"HTA2-neg-47419870_st"	4.964836	4.589923	4.01759	4.4203215	3.474011	3.888102
"HTA2-neg-47419879_st"	4.2012887	3.8373032	4.9869328	3.1413958	4.651083	4.2906356
"HTA2-neg-47419880_st"	3.8292074	4.0615044	4.926781	4.0498996	3.8879871	4.444862
"HTA2-neg-47419881_st"	2.5730364	2.3751528	2.280193	2.6273134	2.4841814	2.2597167
"HTA2-neg-47419882_st"	2.5492465	2.8828669	2.8293138	3.0570266	2.46474	3.0675962
"HTA2-neg-47419883_st"	3.283172	2.8360612	3.464131	2.786695	2.5694888	3.301211
"HTA2-neg-47419884_st"	2.8577	3.1595933	3.7019293	2.784044	3.0831861	3.362056
"HTA2-neg-47419889_st"	2.9165542	2.1325893	3.0481575	2.8575191	2.9657881	3.4445243
"HTA2-neg-47419894_st"	2.6691017	2.4409847	3.1869125	2.9042883	2.5245404	3.612293
"HTA2-neg-47419896_st"	2.9301565	3.0481575	2.7389522	2.8435585	3.1840322	2.795977
"HTA2-neg-47419898_st"	3.1309936	3.03533	3.421149	3.038459	2.9667938	3.404337
"HTA2-neg-47419903_st"	3.4262257	2.8944135	3.2545917	2.947194	3.3626926	3.4716375
"HTA2-neg-47419910_st"	2.9445477	2.4791985	2.5437791	2.725176	2.5653298	2.412962
"HTA2-neg-47419912_st"	2.6794903	2.1669617	2.1870449	2.2880313	3.0857913	2.077205
"HTA2-neg-47419916_st"	3.5485773	2.8528445	3.1792238	2.8467584	2.9006748	2.8529673
"HTA2-neg-47419968_st"	3.417015	3.4586809	3.4656136	3.759705	2.7250085	3.2291355
"HTA2-neg-47419974_st"	2.6179638	2.6943855	2.64626	3.4361603	2.388975	2.7973633
"HTA2-neg-47419976_st"	2.3485298	2.0227199	3.1792698	2.3311172	2.1829488	2.3364298
"HTA2-neg-47419991_st"	4.5498095	4.677867	4.4644175	2.9697251	2.7531922	2.8802948
"HTA2-neg-47420010_st"	2.8723762	2.4618747	2.9860644	2.8499265	2.4374592	2.835199
"HTA2-neg-47420032_st"	2.141801	2.532905	2.2295723	2.092067	2.2255256	2.5723608
"HTA2-neg-47420068_st"	2.9022133	3.0812607	3.3073955	3.651486	3.505741	3.2881262
"HTA2-neg-47420075_st"	2.4367387	2.7762175	2.2946067	3.128961	2.3322303	2.0912185
"HTA2-neg-47420081_st"	2.6311562	2.6169672	2.518881	2.6809149	2.9378452	2.3528655
"HTA2-neg-47420087_st"	2.4749968	2.8744242	2.538209	2.5790882	2.70727	2.5330021
"HTA2-neg-47420088_st"	4.083578	3.9500155	4.2414823	3.6336582	3.9493053	5.6867623
"HTA2-neg-47420091_st"	3.5534868	3.0767422	3.7791183	3.3981047	3.1071494	3.6203184
"HTA2-neg-47420110_st"	2.784118	2.816177	2.619963	2.6595488	2.8482358	3.083512
"HTA2-neg-47420152_st"	4.9996824	2.6284935	3.4207337	3.901015	2.724705	3.3614922
"HTA2-neg-47420169_st"	2.884291	2.9145293	3.656432	2.9370067	3.0143096	2.8131173
