"ID_REF"	"GSM2509848"	"GSM2509849"	"GSM2509850"	"GSM2509851"
"2960238_st"	11.69721	11.4658	11.24983	11.60013
"2960244_st"	12.63912	12.38969	12.64432	12.58457
"2960247_st"	13.41725	13.49704	13.50304	13.49593
"2960249_st"	7.33726	7.647167	7.751273	6.646875
"2978678_st"	7.989874	7.156937	8.299022	8.3716
"2978680_st"	6.790635	6.261333	6.213531	6.534645
"2978682_st"	8.777122	7.989874	8.192093	8.2007
"2978683_st"	2.249234	4.190197	2.491551	2.491551
"2985876_st"	8.261904	8.494694	8.172225	8.158405
"2985878_st"	9.480708	8.86406	9.479193	9.074701
"2985880_st"	4.925304	4.258037	5.85698	5.257683
"2985881_st"	6.475076	6.657632	5.635555	6.854363
"2985883_st"	8.382449	8.037324	7.312515	7.65076
"2985890_st"	6.866777	7.254646	6.417168	7.139136
"2985911_st"	11.45441	11.14575	11.42821	11.07328
"2985912_st"	8.447948	7.66327	7.30797	7.727644
"2985914_st"	8.852403	8.685483	8.49769	8.441738
"2985916_st"	3.329889	5.98207	5.635555	5.561165
"2985926_st"	12.44888	12.35888	12.38855	12.32866
"2985928_st"	9.090006	9.501259	9.663931	9.60633
"2985930_st"	10.42936	10.34675	10.31991	10.40563
"2985932_st"	11.42821	11.52428	11.68845	11.82166
"2985934_st"	9.563596	9.567879	9.471085	9.316755
"2985937_st"	10.63998	10.6393	10.94797	10.9616
"2985941_st"	10.28767	9.685992	9.910583	9.778831
"2995641_st"	10.35888	10.67283	10.50577	10.7448
"2995643_st"	8.299057	7.825997	8.418919	8.008167
"2995645_st"	7.883915	7.732624	7.304161	7.466842
"2995648_st"	8.77478	8.644361	8.407465	8.526289
"2999416_st"	8.626235	8.734185	8.387774	9.067145
"2999418_st"	10.83203	10.53646	10.6429	10.49506
"2999421_st"	12.31365	12.18913	12.11177	12.04743
"2999424_st"	11.93234	12.43043	12.12658	12.31301
"2999427_st"	12.01189	11.96835	12.10939	12.00219
"2999428_st"	10.83068	10.87882	10.8576	10.97966
"2999430_st"	11.09027	11.05115	11.11029	11.19219
"2999434_st"	10.34204	10.21091	10.33348	10.35726
"2999462_st"	8.786954	8.844579	8.929138	8.790216
"2999475_st"	9.241887	8.698564	8.859409	9.103837
"2999478_st"	9.962476	9.698634	9.453702	9.63383
"2999480_st"	8.060476	6.947894	6.737544	7.359394
"2999482_st"	10.03783	9.362951	9.748124	9.812915
"2999485_st"	10.14174	10.3134	10.04468	10.42517
"2999487_st"	12.31709	11.96541	12.19156	12.01827
"2999490_st"	12.37352	12.11909	12.31662	12.27921
"2999493_st"	5.530351	5.959064	6.107677	5.740404
"2999494_st"	10.45862	10.33897	10.0801	10.73001
"2999496_st"	8.932096	9.323526	8.890141	9.775543
"3015381_st"	10.05501	9.962429	9.833717	9.921539
"3015383_st"	8.107897	7.86621	7.463843	7.908057
"3015385_st"	8.703358	8.74411	8.660194	8.760946
"3015387_st"	9.787989	9.827757	9.831567	9.740421
"3015389_st"	9.307049	9.660996	9.413776	9.269084
"3015391_st"	8.007751	7.912834	7.987776	8.140339
"3015393_st"	7.257005	6.625116	7.425925	7.146792
"3015395_st"	9.728703	8.86406	9.286464	9.762315
"3022516_st"	8.734346	8.643312	8.517344	8.902456
"3022517_st"	8.19475	8.340125	8.787229	9.284863
"3022525_st"	8.283409	8.399377	10.72154	9.850711
"3022534_st"	10.22093	10.21214	11.39404	11.54002
"3045304_st"	10.81755	10.60127	10.65884	10.85191
